user_id,address,balance_result
389237510328320,0xa3d5fd5227ba8536fcfba6100010f09e6835c51f,1000000
6156810723800102096,0x8c6cca499d53fa3a9e062165cc26c8699fe3c9a6,1000000
6159234141500107261,0x10e52e5f2051fde001b05f96022bef7b4e46f727,1000000
160661641793536,0xedb106c9e5f429a296a94c56bcd797511836c350,1000000
160981638512640,0x9adfb11af29666298771fbb307123be7825ac403,1000000
196315733127168,0x4e9cdd3b8cf1e952a0e17f50c67f68e480788904,1000000
158263549747200,0x3f9cb04c52dd73970d324f2383114724480d479d,1000000
179855912722432,0xc77133169C5d3f6f8e73a4116eb60304AAC65C15,1000000
6156810704100102061,0x18be1b64f17bd4555b2d8b806c9182ad64d8fe81,735113
6156810705300102063,0x4124e726E6d4C7C0685C6A5E8cB263Cb8b1B1505,735190
6684165517100105197,0x9d88fe890FC781F692c256D6229aB37a35d54Cc9,613903
6449398056000108453,0x70B6BD8FD04cAC4FF5816fb2fa27f15b5209ffB6,597970
6684192344700105268,0x38Bf7AB12658F3a514809faf80B1E9fC7ca7AC87,488063
159444857671680,0x59bad2d46362701516bf9d0a8eafb498c6420ae5,457292
161836424851456,0x377279Bf225152AF567Fb416b57Ed505Dd618636,440968
6684169298300105204,0x82027d5076bB0725724F4aD3c12c6b43bB39C2F1,398882
159510239100928,0x2f85519624cfd2f7f91f02b63d4abf4b9efa6734,393891
159210921218048,0xd2aa404d6b704dabc06565e4f33e89a31f634ad7,369128
6684179354500105230,0x8a705EFAbF831a81BcD859b5c1F1FB8CD2fdA2a0,348481
6684176126700105219,0xB2b06c9Dd222171898285ca2bCA299C5527B9a95,338923
6684155280600105172,0x76F0FaaA35A0cc89d9194e499A6c8D09bD1CCfa8,316999
6684183510200105237,0x181089Ac570054eC939ebefDe537e0BAE002dE43,305358
159187058655232,0xD5739486c28D034CBb5DD4281ddDdC7014D5315D,302422
6683854737500103750,0x54f6FF8FaD0Ab1a8afCb4697b796763bFe39196b,291718
159016710197248,0xe95f9c3619B2d921E56d642c0A6688A4885945e4,265560
068572088905728,0xF484b4d5b3105C6fDA826dC605313CAD17fb6C16,264894
6684162027800105190,0x14bb219B6D1a38E115752500b8ec54aa6506FbbD,259438
6684150700300105147,0xd23FBa03452557E141Aac7b40f8c2D6438746163,257416
6684173114300105212,0x9abF21AD5adBB786B0F360c2b4E973ff1F0Be223,252696
6156810771100102168,0x7869fb5aa1f4e93c6f15997ec9b9190cb9dd0a2a,243786
6683848873600103736,0xC8C487bBF982ACbf499756122D68E59a2c7d00af,231072
164162560475136,0x0a5fd68be1c0e5970daad35cc930a273d4683047,221972
6159234087000107163,0xbeaf30b79002c46af48ffc8c449db7c83d2dde9c,217436
6684189520400105258,0x43a8ddfd4D1f7A20E8243C8E0dEb3aded511107D,218053
6684196598200105275,0x2aE18E48e44452199A0Ea5c4389713a799219166,210428
177517863706624,0x5cde0ccb7e21ac91dcd4eb4b73fc0ac32612b453,192535
6318410648300102668,0x3e5281e4df187cc764d63cc5dc257a064b298504,187489
158158212513792,0xe34acc68c63d2fe769fd7a248fb6bb61ed9e5f89,181551
159582096531456,0x24C7418FC52B5c7ea532c8BC2ab282baDb1B36eC,187631
6684146556000105092,0x85d9c5509aFa2b6BF84862240948F4D7aBa9a2E6,187476
160036332793856,0x1245780563149dDEAB2FDB15c1ffc28E210b5680,184189
177612386566144,0x454E66F0Ae61AdBf6d04cb429B7d5Ddf78cC715B,171151
159041695535104,0x8f4d466606f280c7402153f1f0101928c1819dac,161172
6511745774100102824,0x63bb0529E616FB58Ba5893dcF93B1b6429D387aA,168790
6683851717700103743,0x0f8B19f95512BA469348ce0F9283e89424E2a9dE,159460
6267802366800107970,0xab833e38a35164c9edae07b9747ab6d32434bef1,151067
6683840130700103720,0x2FE53ba0632D9fd38D575d1E9701634007864c0C,142997
170574764511232,0xf715ae46dc41f2686d0d7c5a5c782150ea299b3d,138326
158373222400000,0x51aef8792efc68da8b80529636720235b2377271,126572
6684186391700105245,0x6cB54c6053Be264c828ebD51c09b6Dcb40a9eFcD,128824
159149727526912,0x44604bb3a940e93e644ae03a96b876df1417f750,124231
6159235322500109482,0x61cfeb14f185c911464183153bdf59f9071a1b5b,119216
169925008379904,0x17150027ed7c68cdc24c6e2515fee911b4f77c34,120766
6684158706700105179,0x7AC45574050D5CBb9b15198f84De223Ae2E905A8,124841
158359118221312,0x8c410c293db95a9736335de4ccd7910cca2da241,109839
158380108673024,0x0a5634fcd02088b04ace88c29ae4bc2fe35379e9,109427
6683846226300103729,0xED8134c261CD6E2F95C3908C243d18A5Cd3Ea63a,112364
6260299133800100106,0xf815a3a9a38b88d76df1c8fb9bf3f6a1cd9979be,106952
158861501067264,0x08Bb5aa719123D787BDD3555798b809644F03421,111160
6278163572100101439,0x2da16d778cfde3c174a3cdb9a8d92ce7c9b594de,104929
175906092834816,0xe711f48C9Aeb6803ee4E06afdCA0e470C6469f8C,108324
168628618338304,0x0f841dd3bdc2f8b47c1fa435df2a274d2dd858f9,101067
3107314361643008,null,104560
167681478590464,0x5D58c29164858aE939704B0c01729cf2e28c03fa,103900
159585183023104,0x559d3292A1C383920797152cbBAd45903A6b4ed4,103422
165605844025344,0x9153e9d01EF6DFf2A7D6E0e3DC6313a8e939f5BC,102586
162107436134400,0xc069d0c1cf3e4f54fd638c31135fecc2518ed099,94372
166444468875264,0x8508ae9177b6cea8e5b95e9eb66c257fa5189ddb,87644
6159234090500107169,0x4878e0bddec9504d25478c3cee28190d285030d9,87509
158512278425600,0xf1d02ac5085d4c2103087d2e978da76a5e5cc5eb,88584
6159234949200108784,0x4ba6cc4e80806fe8fbcfa1d768b1b5b1a3a20832,83374
158319620063232,0x72b1bc1640c0b80e0eb2014cab7bc5824c8aec84,81066
158406246838272,0xBCcFA11b09F67B27d38a7CF437f45334A9b4f9DA,82751
174932026695680,0x6726a23340321Df0C8CCbD5F08475f37C63a885E,82144
159205619630080,0xe5A3b21e08322C736dD8824267A863daEB55f7ea,81576
2107317405843456,0x57cb9E2c44F79B162672Eb04937d4D8398fa0bed,80196
158793767440384,0x59eee5c4f34d0e9b331f8ee90ac59b469d5997cc,73731
085443017457664,0:137e4268b81c5190709a589fc1b7271afe553fcd8fcdcec75b95f4040519953c,77115
085399662694400,0:a0698ad4375fe5ce7f069e6b5d8859901af9ed24877605d8acfd1e5d748f0bdb,76938
6413230248900101630,null,76768
6264078150600102398,0x4379c690D5Fe11C400a28e0C9077EE50094F0911,76601
085388216414208,0:0863354481fc4b30ccefe2342521fde23de822911434466ea2471e6a704d74d9,76265
6463981841800106708,null,74714
6456611667400104756,0x9e2A4bBb27507126BFDccDD12b36A49c2bA94Ec8,73911
172785752809472,0x67825d1a49a1762350f0e7866bd2b6667c74c155,63554
6159235377000109585,0xb27b793a284804370fc2e1f77fe7c65e5db08977,67730
158276468846592,0x97C9828Df913ef7220526A8fb73cdd74Ccad2b01,71896
159093219479552,0xC33C088579f1c6AbF1521DEa7AC9C8b4c89c6fC8,71083
6156810751000102137,0x2306a174e5fc98adc0f2e8759ae4cde6e4c31a09,66556
